qs1,qs2,qs3,qs4,qs5,merge1,partition_sort
0.07223176956176758,0.1474902629852295,0.1472928524017334,0.15497589111328125,0.15061092376708984,0.1708219051361084,0.050987958908081055
0.07980012893676758,0.1375741958618164,0.1417982578277588,0.1455211639404297,0.14821910858154297,0.16796398162841797,0.051493167877197266
0.06894803047180176,0.143845796585083,0.14003372192382812,0.16373682022094727,0.14845490455627441,0.16698002815246582,0.05284309387207031
0.07058930397033691,0.14455294609069824,0.13976502418518066,0.14783215522766113,0.14510202407836914,0.1692061424255371,0.05289196968078613
0.07036304473876953,0.1410658359527588,0.1473090648651123,0.14493894577026367,0.15035486221313477,0.16663908958435059,0.05102682113647461
0.07069015502929688,0.1518688201904297,0.1387171745300293,0.15970611572265625,0.14513802528381348,0.16618871688842773,0.05145692825317383
0.10447287559509277,0.15177702903747559,0.14188194274902344,0.14569711685180664,0.1563560962677002,0.16586017608642578,0.05161023139953613
0.10041499137878418,0.142564058303833,0.14490294456481934,0.15225911140441895,0.14717888832092285,0.16512823104858398,0.053128957748413086
0.0828859806060791,0.14310717582702637,0.14282488822937012,0.14838123321533203,0.14836478233337402,0.16596317291259766,0.05109977722167969
0.0723872184753418,0.14589619636535645,0.1387782096862793,0.15009474754333496,0.14687585830688477,0.16662096977233887,0.051564931869506836
0.0778040885925293,0.1395277976989746,0.14391493797302246,0.15578389167785645,0.14832186698913574,0.16577482223510742,0.050779104232788086
0.07326889038085938,0.15062499046325684,0.14399099349975586,0.14390206336975098,0.1468498706817627,0.16629409790039062,0.05802583694458008
0.07821297645568848,0.13957500457763672,0.13750720024108887,0.15161514282226562,0.14916038513183594,0.16752195358276367,0.05200505256652832
0.07228803634643555,0.154710054397583,0.14675402641296387,0.1624138355255127,0.1468641757965088,0.16716384887695312,0.051078081130981445
0.07333564758300781,0.13753700256347656,0.14736604690551758,0.15628981590270996,0.1520850658416748,0.16903209686279297,0.051455020904541016
0.0702509880065918,0.13736891746520996,0.1514439582824707,0.16082024574279785,0.14450788497924805,0.16892194747924805,0.05130290985107422
0.07602906227111816,0.148392915725708,0.1430058479309082,0.15325093269348145,0.15060782432556152,0.16925907135009766,0.05172991752624512
